Table 10.1 - GROSS DOMESTIC PRODUCT AND DEFLATORS USED IN THE HISTORICAL TABLES:  1940 - 2023,,,,,,,,,,,,,,,
(Fiscal Year 2009 = 1.000),,,,,,,,,,,,,,,
Fiscal Year,"GDP (in
billions of
dollars)","GDP
(Chained)
Price Index",Composite Outlay Deflators,,,,,,,,,,,,
,,,Total,"Total
Defense","Total
Nondefense",Payment for Individuals,,,"Other
Grants",Net Interest,"Undis-
tributed
Offsetting
Receipts",All Other,Addendum: Direct Capital,,
,,,,,,Total,Direct,Grants,,,,,Total,Defense,Nondefense
1940,98.2,0.0809,0.0697,0.0651,0.0707,0.0788,0.0788,0.0788,0.0493,0.0809,0.0477,0.0674,0.1448,0.1484,0.1433
1941,116.2,0.0840,0.0769,0.0801,0.0743,0.0815,0.0815,0.0815,0.0446,0.0840,0.0474,0.0688,0.1548,0.1573,0.1490
1942,147.7,0.0902,0.0872,0.0976,0.0678,0.0892,0.0892,0.0892,0.0437,0.0902,0.0509,0.0595,0.1614,0.1616,0.1581
1943,184.6,0.0961,0.0964,0.1045,0.0671,0.0988,0.0988,0.0988,0.0469,0.0961,0.0557,0.0584,0.1582,0.1582,0.1585
1944,213.8,0.0995,0.0887,0.0918,0.0726,0.1061,0.1061,0.1061,0.0498,0.0995,0.0614,0.0624,0.1536,0.1536,0.1625
1945,226.4,0.1019,0.0834,0.0835,0.0831,0.1115,0.1116,0.1113,0.0503,0.1019,0.0647,0.0663,0.1433,0.1432,0.1668
1946,228.0,0.1097,0.0842,0.0801,0.1019,0.1176,0.1176,0.1174,0.0555,0.1097,0.0673,0.0719,0.1455,0.1451,0.1643
1947,238.9,0.1216,0.0956,0.0866,0.1019,0.1264,0.1264,0.1263,0.1309,0.1216,0.0713,0.0741,0.1624,0.1616,0.1670
1948,262.4,0.1331,0.0994,0.0812,0.1103,0.1380,0.1380,0.1379,0.0751,0.1331,0.0771,0.0816,0.1800,0.1773,0.1903
1949,276.8,0.1375,0.0958,0.0810,0.1056,0.1417,0.1418,0.1416,0.0791,0.1375,0.0749,0.0795,0.1902,0.1868,0.1985
1950,279.0,0.1355,0.1005,0.0818,0.1127,0.1399,0.1400,0.1395,0.0750,0.1355,0.0789,0.0848,0.1867,0.1860,0.1879
1951,327.4,0.1428,0.1009,0.0866,0.1226,0.1478,0.1479,0.1473,0.0894,0.1428,0.0778,0.0866,0.1998,0.2003,0.1978
1952,357.5,0.1485,0.1006,0.0901,0.1339,0.1537,0.1537,0.1532,0.0899,0.1485,0.0838,0.0944,0.2094,0.2094,0.2098
1953,382.5,0.1512,0.1080,0.0993,0.1349,0.1559,0.1560,0.1555,0.0941,0.1512,0.0887,0.0993,0.2122,0.2118,0.2177
1954,387.7,0.1530,0.1112,0.1009,0.1450,0.1580,0.1580,0.1578,0.0904,0.1530,0.0918,0.1061,0.2103,0.2099,0.2163
1955,407.0,0.1542,0.1151,0.1043,0.1390,0.1579,0.1579,0.1578,0.0921,0.1542,0.0943,0.1028,0.2162,0.2165,0.2126
1956,439.0,0.1582,0.1202,0.1105,0.1386,0.1598,0.1598,0.1597,0.0936,0.1582,0.0954,0.1024,0.2275,0.2280,0.2186
1957,464.2,0.1641,0.1261,0.1161,0.1441,0.1644,0.1644,0.1643,0.1019,0.1641,0.0976,0.1060,0.2401,0.2409,0.2291
1958,474.3,0.1691,0.1335,0.1216,0.1533,0.1692,0.1692,0.1691,0.1128,0.1691,0.1044,0.1150,0.2478,0.2487,0.2367
