,Pers,,,Low,,High,,,,Emple,,,,,
,Exmp,,,Brck,,Brck,,,,Emplr,,,,,
Tax,,,,,,,,,,,,,,,
Year1,Single,Married,Dependents,Low_rate,Low_limit,Top_rate1,Top_limit,Year,TopRate,OasdiRate,HiRate,FicaRate,,,
1937,1000,2500,400,4,4000,79,5000000,1937,79,1,0,1,,0,0
1938,1000,2500,400,4,4000,79,5000000,1938,79,1,0,1,,0,0
1939,1000,2500,400,4,4000,79,5000000,1939,79,1,0,1,,0,0
1940,800,2000,400,4.4,4000,81.1,5000000,1940,81.1,1,0,1,,0,0
1941,750,1500,400,10,2000,81,5000000,1941,81,1,0,1,,0,0
1942,500,1200,350,19,2000,88,200000,1942,88,1,0,1,,0,0
1943,500,1200,350,19,2000,88,200000,1943,88,1,0,1,,0,0
1944,500,1000,500,23,2000,94,200000,1944,94,1,0,1,,0,0
1945,500,1000,500,23,2000,94,200000,1945,94,1,0,1,,0,0
1946,500,1000,500,19,2000,86.45,200000,1946,86.45,1,0,1,,0,0
1947,500,1000,500,19,2000,86.45,200000,1947,86.45,1,0,1,,0,0
1948,600,1200,600,16.6,4000,82.13,400000,1948,82.13,1,0,1,,0,0
1949,600,1200,600,16.6,4000,82.13,400000,1949,82.13,1,0,1,,0,0
1950,600,1200,600,17.4,4000,84.36,400000,1950,84.36,1.5,0,1.5,,0,0
1951,600,1200,600,20.4,4000,91,400000,1951,91,1.5,0,1.5,,0,0
1952,600,1200,600,22.2,4000,92,400000,1952,92,1.5,0,1.5,,0,0
1953,600,1200,600,22.2,4000,92,400000,1953,92,1.5,0,1.5,,0,0
1954,600,1200,600,20,4000,91,400000,1954,91,2,0,2,,0,0
1955,600,1200,600,20,4000,91,400000,1955,91,2,0,2,,0,0
1956,600,1200,600,20,4000,91,400000,1956,91,2,0,2,,0,0
1957,600,1200,600,20,4000,91,400000,1957,91,2.25,0,2.25,,0,0
1958,600,1200,600,20,4000,91,400000,1958,91,2.25,0,2.25,,0,0
1959,600,1200,600,20,4000,91,400000,1959,91,2.5,0,2.5,,0,0
1960,600,1200,600,20,4000,91,400000,1960,91,3,0,3,,0,0
1961,600,1200,600,20,4000,91,400000,1961,91,3,0,3,,0,0
1962,600,1200,600,20,4000,91,400000,1962,91,3.125,0,3.125,,0,0
1963,600,1200,600,20,4000,91,400000,1963,91,3.625,0,3.625,,0,0
1964,600,1200,600,16,1000,77,400000,1964,77,3.625,0,3.625,,0,0
1965,600,1200,600,14,1000,70,200000,1965,70,3.625,0,3.625,,0,0
1966,600,1200,600,14,1000,70,200000,1966,70,3.85,0.35,4.2,,0,0
1967,600,1200,600,14,1000,70,200000,1967,70,3.9,0.5,4.4,,0,0
1968,600,1200,600,14,1000,75.25,200000,1968,75.25,3.8,0.6,4.4,,0,0
1969,600,1200,600,14,1000,77,200000,1969,77,4.2,0.6,4.8,,0,0
1970,625,1250,625,14,1000,71.75,200000,1970,71.75,4.2,0.6,4.8,,0,0
1971,675,1350,675,14,1000,70,200000,1971,70,4.6,0.6,5.2,,0,0
1972,750,1500,750,14,1000,70,200000,1972,70,4.6,0.6,5.2,,0,0
1973,750,1500,750,14,1000,70,200000,1973,70,4.85,1,5.85,,0,0
1974,750,1500,750,14,1000,70,200000,1974,70,4.95,0.9,5.85,,0,0
1975,750,1500,750,14,1000,70,200000,1975,70,4.95,0.9,5.85,,0,0
1976,750,1500,750,14,1000,70,200000,1976,70,4.95,0.9,5.85,,0,0
1977,750,1500,750,14,3200,70,203200,1977,70,4.95,0.9,5.85,,0,0
1978,750,1500,750,14,3200,70,203200,1978,70,5.05,1,6.05,,0,0
1979,1000,2000,1000,14,3400,70,215400,1979,70,5.08,1.05,6.13,,0,0
1980,1000,2000,1000,14,3400,70,215400,1980,70,5.08,1.05,6.13,,0,0
1981,1000,2000,1000,13.8,25  3400,69.12,5  215400,1981,69.13,5.35,1.3,6.65,,0,-0.01
1982,1000,2000,1000,12,3400,50,85600,1982,50,5.4,1.3,6.7,,0,0
1983,1000,2000,1000,11,3400,50,109400,1983,50,5.4,1.3,6.7,,0,0
1984,1000,2000,1000,11,3400,50,162400,1984,50,5.7,1.3,7,,0,0
1985,1040,2080,1040,11,3540,50,169020,1985,50,5.7,1.35,7.05,,0,0
1986,1080,2160,1080,11,3670,50,175250,1986,50,5.7,1.45,7.15,,0,0
1987,1900,3800,1900,11,3000,38.5,90000,1987,38.5,5.7,1.45,7.15,,0,0
1988,1950,3900,1950,15,29750,28,29750,1988,28,6.06,1.45,7.51,,0,0
1989,2000,4000,2000,15,30950,28,30950,1989,28,6.06,1.45,7.51,,0,0
1990,2050,4100,2050,15,32450,28,32450,1990,28,6.2,1.45,7.65,,0,0
1991,2150,4300,2150,15,34000,31,82150,1991,31,6.2,1.45,7.65,,0,0
1992,2300,4600,2300,15,35800,31,86500,1992,31,6.2,1.45,7.65,,0,0
1993,2350,4700,2350,15,36900,39.6,89150,1993,39.6,6.2,1.45,7.65,,0,0
1994,2450,4900,2450,15,38000,39.6,250000,1994,39.6,6.2,1.45,7.65,,0,0
1995,2500,5000,2500,15,39000,39.6,256500,1995,39.6,6.2,1.45,7.65,,0,0
1996,2550,5100,2550,15,40100,39.6,263750,1996,39.6,6.2,1.45,7.65,,0,0
1997,2650,5300,2650,15,41200,39.6,271050,1997,39.6,6.2,1.45,7.65,,0,0
1998,2700,5400,2700,15,42350,39.6,278450,1998,39.6,6.2,1.45,7.65,,0,0
1999,2750,5500,2750,15,43050,39.6,283150,1999,39.6,6.2,1.45,7.65,,0,0
2000,2800,5600,2800,15,43850,39.6,288350,2000,39.6,6.2,1.45,7.65,,0,0
2001,2900,5800,2900,10,12000,39.1,297350,2001,39.1,6.2,1.45,7.65,,0,0
2002,3000,6000,3000,10,12000,38.6,307050,2002,38.6,6.2,1.45,7.65,,0,0
,,,,,,,,2003,35,6.2,1.45,7.65,,,
,,,,,,,,2004,35,6.2,1.45,7.65,,,
,,,,,,,,2005,35,6.2,1.45,7.65,,,
,,,,,,,,2006,35,6.2,1.45,7.65,,,
,,,,,,,,2007,35,6.2,1.45,7.65,,,
,,,,,,,,2008,35,6.2,1.45,7.65,,,
,,,,,,,,2009,35,6.2,1.45,7.65,,,
,,,,,,,,2010,35,6.2,1.45,7.65,,,
,,,,,,,,2011,35,4.2,1.45,5.65,,,
,,,,,,,,2012,35,4.2,1.45,5.65,,,
,,,,,,,,2013,39.6,6.2,1.45,7.65,,,
,,,,,,,,2014,39.6,6.2,1.45,7.65,,,
,,,,,,,,2015,39.6,6.2,1.45,7.65,,,
,,,,,,,,2016,39.6,6.2,1.45,7.65,,,
,,,,,,,,2017,39.6,6.2,1.45,7.65,,,
,,,,,,,,2018,37,6.2,1.45,7.65,,,
,,,,,,,,2019,37,6.2,1.45,7.65,,,
,,,,,,,,2020,37,6.2,1.45,7.65,,,
,,,,,,,,2021,37,6.2,1.45,7.65,,,
,,,,,,,,2022,37,6.2,1.45,7.65,,,
,,,,,,,,2023,37,6.2,1.45,7.65,,,
